FR31489	BSUIFRPPXXX	CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK
FR40031	CDCGFRPPXXX	Caisse des dépôts et consignations - section générale
FR40398	BICFFRPPXXX	Banque internationale de commerce - BRED
FR40618	BOUSFRPPBDF	Boursorama
FR40978	BSPFFRPPXXX	Banque Palatine
FR41189	BBVAFRPPBDF	Banco Bilbao Vizcaya Argentaria (BBVA)
FR41219	BOFAFRPPXXX	BANK OF AMERICA EUROPE DESIGNATED ACTIVITY COMPANY
FR41249	BOTKFRPXXXX	MUFG Bank, Ltd
FR41259		Bank Melli Iran
FR41439	BCDMFRPPXXX	Banque Chaabi du Maroc
FR41539	AGRIFRP1ACF	CA Consumer Finance
FR41639	NBOKFRPPXXX	NBK France SA
FR41829	LICOFRPPXXX	Al Khaliji France
FR41919	BNPARERXPOR	BNP Paribas Réunion
FR42559		CREDIT COOPERATIF
FR42799	MOEYFRPPMON	My Money Bank
FR43199	CFFRFRPPXXX	Crédit Foncier de France
FR43629		Société anonyme de crédit à l'industrie française (C.A.L.I.F.)
FR43799	SIBLFRPPXXX	CA INDOSUEZ
FR43849		Tunisian foreign bank
FR43899	UBAFFRPPXXX	Union de banques arabes et françaises - U.B.A.F.
FR44149	ESCBFRPPBDF	Banque d'escompte
FR44269		Bank Saderat Iran
FR44319		Louvre Banque Privée
FR44729	BSCHFRPPXXX	Banco Santander SA
FR45539	CMCIFRPACCM	Caisse centrale du crédit mutuel
FR45850	ODDOFRCPXXX	Oddo BHF SCA
FR26633		Allfunds Bank, S.A.U.
FR27033		Riverbank S.A.
FR17338	MEMOFRP2XXX	MEMO BANK
FR27133	NSMBFRPPXXX	ABN Amro Bank NV
FR27533		SMBC Bank EU AG
FR13188		PORTZAMPARC
FR14830		Société de bourse Gilbert Dupont
FR19553	PROCFRPPXXX	ProCapital
FR45418		BNP PARIBAS FINANCIAL MARKETS
FR12148		SG option Europe
FR12583	BOFAFRP3XXX	BofA Securities Europe SA
FR23233		Citigroup global markets Europe AG
FR14433		Morgan stanley europe SE
FR23633		MUFG SECURITIES (EUROPE) N.V.
FR17128	BPLCFRPPXXX	BARCLAYS BANK PLC, FRENCH BRANCH
FR27633		BUNQ B.V
FR27733		CA Auto Bank S.p.A. Succursale en France
FR28033		KLARNA BANK AB
FR28233		REVOLUT BANK UAB
FR28533		Solaris SE
FR16788		SANTANDER CONSUMER FINANCE, S.A.
FR11689	CITIFRPPSEC	CITIBANK EUROPE PUBLIC LIMITED COMPANY
FR19633		Berlin Hyp AG
FR11998		Unicredit Bank GmbH
FR19533		BANK OF COMMUNICATIONS (LUXEMBOURG) S.A.
FR17538		National Australia Bank Europe S.A
FR29333		HSBC PRIVATE BANK (LUXEMBOURG) S.A.
FR16608		LA BANQUE POSTALE HOME LOAN SFH
FR21733		Adyen N.V.
FR16908		Ma French Bank
FR20433		N26 BANK SE
FR17863		Deutsche Pfandbriefbank AG
FR16618		The Export-Import Bank of China
FR12933		Caixabank
FR11728		MMB SCF
FR16998		ROYAL BANK OF CANADA
FR15333		Toyota material handling commercial finance AB
FR16648	UBPGMCMXXXX	UNION BANCAIRE PRIVEE, UBP SA
FR30133		Banque J. Safra Sarasin (Luxembourg) SA, Succursale en France
FR17628		The Access Bank UK Limited
FR922577887		BEA INTERNATIONAL
FR17708	AGRIFRP1FHS	CREDIT AGRICOLE FINANCEMENT DE L HABITAT SFH
FR16433		J.P. Morgan SE
FR23033		HOIST FINANCE AB
FR19973		Mirabaud & Cie (Europe) SA
FR16688	AGFOFR21XXX	AGENCE FRANCE LOCALE
FR16773		Lombard Odier (Europe) S.A
FR16668	ANZBFRPPXXX	Australia and New Zealand banking group limited
FR18233		CHINA CONSTRUCTION BANK (EUROPE) S.A
FR31033	MHCBFRPPXXX	Mizuho Bank Europe N.V. Paris Branch
FR980884084	BIKCFRP1XXX	Saxo Bank A/S
FR17858		ZENITH BANK (UK) LIMITED
FR31233		Trade Republic Bank GmbH
FR31333		Banque Internationale à Luxembourg S.A.
FR00006		Caisse des dépôts et consignations - fonds d'épargne
FR10057		Banque CIC Sud Ouest
FR10096		Lyonnaise de banque
FR10107	BREDFRPPXXX	BRED - Banque populaire
FR10108		Bayerische Landesbank
FR10128	BCITFRPPXXX	Intesa Sanpaolo SpA
FR10140	CCMRFR21XXX	Caisse de crédit municipal de Marseille
FR10160		CRÉDIT MOBILIER DE MONACO
FR10188	BCHAFR21XXX	Banque Chalus
FR10206	AGRIFRCC802	Caisse régionale de crédit agricole mutuel du Nord Est
FR10207	CCBPFRPPMTG	Banque populaire Rives de Paris
FR10218	RABOFRPPXXX	Coöperatieve Rabobank U.A.
FR10278	CMCIFRCPCEE	Caisse fédérale de crédit mutuel
FR10548	BSAVFR2CXXX	Banque de Savoie
FR10807	CCBPFRPPDJN	Banque populaire Bourgogne Franche-Comté
FR10907	CCBPFRPPBDX	Banque populaire Aquitaine Centre Atlantique
FR10918	CHDUFRPPXXX	Cholet Dupont Oudart
FR11006	AGRIFRCC810	Caisse régionale de crédit agricole mutuel de Champagne-Bourgogne
FR11128		BPCE lease
FR11138		BPCE Factor
FR11188	RCINFRPPXXX	RCI Banque
FR11206	AGRIFRCC812	Caisse régionale de crédit agricole mutuel Nord Midi-Pyrénées
FR11238	SWILFRPPBDF	SwissLife banque privée
FR11306	AGRIFRCC813	Caisse régionale de crédit agricole mutuel Alpes Provence
FR11307	CCBPFRPPCAS	CASDEN Banque Populaire
FR11315		Caisse d'Epargne CEPAC
FR11380	CRRHFRPAXXX	C.R.H. - Caisse de refinancement de l'habitat
FR11425		Caisse d'épargne et de prévoyance Normandie
FR11438	HRFRFRP2XXX	Banque Hottinguer
FR11449	BDEIFRPPXXX	BANQUE FIDUCIAL
FR11470		Natixis coficiné
FR11550		Caisse de crédit municipal de Toulouse
FR11600		Crédit mutuel Real Estate Lease
FR11668	BERLMCMCXXX	Edmond de Rothschild (Monaco)
FR11706	AGRIFRCC817	Caisse régionale de crédit agricole mutuel Charente-Maritime Deux-Sèvres
FR11808	CMCIFRPAXXX	Banque fédérative du crédit mutuel
FR24333	UBSWFRPPXXX	UBS Europe SE
FR23133		NATWEST MARKETS N.V.
FR23733		Standard Chartered Bank AG
FR24733		Bank of Montreal Europe plc
FR11833	ICBKFRPPXXX	Industrial and commercial bank of China (Europe) SA - ICBC (Europe) SA
FR11899		Banque Européenne du Crédit Mutuel
FR11978	CMCIFRP1FAC	Crédit Mutuel Factoring
FR11989	POUYFR21FRA	Banque Pouyanne
FR11999	UBSWMCMXXXX	UBS (MONACO) S.A.
FR12006	AGRIFRCC820	Caisse régionale de crédit agricole mutuel de la Corse
FR12128		Société centrale pour le financement de l'immobilier - Socfim
FR12135		Caisse d'épargne et de prévoyance de Bourgogne Franche-Comté
FR12179	BIARFRPPXXX	Banque BIA
FR12206	AGRIFRCC822	Caisse régionale de crédit agricole mutuel des Côtes-d'Armor
FR12240	AGFBFRCCXXX	Allianz banque
FR12249	BMCEFRPPXXX	BANK OF AFRICA UNITED KINGDOM PLC (succursale de Paris)
FR12280	SORMFR2NXXX	Socram banque
FR12406	AGRIFRCC824	Caisse régionale de crédit agricole mutuel Charente-Périgord (Crédit agricole  Charente-Périgord)
FR12420		Caisse de crédit municipal de Reims
FR12448	BAECMCMXXXX	Barclays bank plc monaco
FR12468	BCGEFR21XXX	Banque cantonale de Genève (France) S.A.
FR12478		FCE bank plc
FR12506	AGRIFRCC825	Caisse régionale de crédit agricole mutuel de Franche-Comté
FR12548	AXABFRPPXXX	Axa banque
FR12579		Banque BCP
FR12619	CGDIFRPPXXX	Caixa geral de depositos S.A.
FR12739	CFMOMCMXXXX	CFM Indosuez Wealth
FR12749		BPCE Bail
FR12779		BRED Cofilease
FR12818		Institut pour le financement du cinéma et des industries culturelles - I.F.C.I.C.
FR12869	BACCFR22XXX	ONEY BANK
FR12879	DELUFR22LCH	Banque Delubac et Cie
FR12906	AGRIFRCC829	Caisse régionale de crédit agricole mutuel du Finistère
FR12978		JCB Finance
FR13070		Crédit Mutuel Leasing
FR13088		BNP PARIBAS ANTILLES-GUYANE
FR13106	AGRIFRCC831	Caisse régionale de crédit agricole mutuel Toulouse 31
FR13135		Caisse d'épargne et de prévoyance de Midi-Pyrénées
FR13149	EDELFRP1001	Banque Edel SA
FR13150		LixxBail
FR13168	PSABFRPPXXX	Stellantis Financial Services Europe
FR13306	AGRIFRCC833	Caisse régionale de crédit agricole mutuel d'Aquitaine
FR13335		Caisse d'épargne et de prévoyance Aquitaine Poitou-Charentes
FR13338	KBLXMCMCXXX	BANQUE RICHELIEU MONACO
FR13368	SGBTMCMCXXX	Société générale private banking (Monaco)
FR13485		Caisse d'épargne et de prévoyance du Languedoc Roussillon
FR13506	AGRIFRCC835	Caisse régionale de crédit agricole mutuel du Languedoc
FR13507	CCBPFRPPLIL	Banque populaire du Nord
FR13528	UNCRFRPPXXX	Unicredit SpA
FR13558	AUXPFR21XXX	Auxifip
FR13579	BSAOFR21XXX	Banque Saint-Olive
FR13580		FACTOFRANCE
